102.5,369.5
111,377.5
101,392.5
101,392.5
118.885245901639,407.16393442623
118.885245901639,407.16393442623
142,432.5
142,432.5
153.5,459.5
164.5,457.5
165.5,474.5
165.5,474.5
160.5,475.5
161.5,512.5
161.5,512.5
184.5,529.5
184.5,529.5
189.5,536.5
200.5,547.5
226.5,558.5
226.5,558.5
236.5,559.5
236.5,559.5
260.5,559.5
260.5,559.5
272.5,556.5
272.5,556.5
298.5,552.3
298.5,552.3
298.5,552.3
327.5,506.5
327.5,506.5
327.5,506.5
332,491
330,483
330.5,475.5
330.5,475.5
330.5,475.5
357.5,449.5
357.5,449.5
308.818181818182,415.321428571429
308.818181818182,415.321428571429
344.369565217391,390.108695652174
335.829787234043,384.643617021277
335.829787234043,384.643617021277
331,377
340.5,354.5
347.5,351.5
369.5,341.5
377.5,338.5
382.5,336.5
382.5,336.5
374.5,304.5
374.5,304.5
413.5,258.5
413.5,258.5
413.5,258.5
413.5,258.5
415.5,246.5
417.5,236.5
419.5,224.5
420.5,217.5
422.5,207.5
424.5,198.5
426.5,185.5
428.5,175.5
429.5,168.5
431.5,153.5
432.5,148.5
433.5,141.5
433.5,141.5
433.5,141.5
412.5,140.5
412.5,140.5
411.5,145.5
404.5,159.5
397.5,165.5
397.5,165.5
400,168
